     25543:	symbol=realloc;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__rseq_offset;  lookup in file=cat [0]
     25543:	symbol=__rseq_offset;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__rseq_offset;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	symbol=__rseq_size;  lookup in file=cat [0]
     25543:	symbol=__rseq_size;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
     25543:	symbol=__rseq_size;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
     25543:	
     25543:	calling init: /lib64/ld-linux-x86-64.so.2
     25543:	
     25543:	
     25543:	calling init: /lib/x86_64-linux-gnu/libc.so.6
     25543:	
     25543:	
     25543:	initialize program: cat
     25543:	
     25543:	
     25543:	transferring control: cat
     25543:	
